bookid,title,image_url,authors,subjects,isbn,publisher,ratings,rating_count
113,Agile estimating and planning,https://images-na.ssl-images-amazon.com/images/P/813170548X.01.TZZZZZZZ.jpg,"Cohn, Mike",Computer software -- Development | Agile software development,9.78813E+12,Upper Saddle River NJ : Prentice Hall,0,0
114,Ajax for web application developers,https://images-na.ssl-images-amazon.com/images/P/0672329123.01.TZZZZZZZ.jpg,"Hadlock, Kris",Ajax (Web site development technology) | Web site development,9.78067E+12,Indianapolis IN : Sams,0,0
115,Algorithms in Java,https://images-na.ssl-images-amazon.com/images/P/8177587994.01.TZZZZZZZ.jpg,"Sedgewick, Robert",Java (Computer program language) | Computer algorithms,9.78818E+12,New Delhi : Pearson,0,0
116,"ATM networks : concepts, protocols, applications  ",https://images-na.ssl-images-amazon.com/images/P/8177585290.01.TZZZZZZZ.jpg,"Handel, Rainer | Huber, Manfred N | Schröder, Stefan",Asynchronous transfer mode | Integrated services digital networks | Broadband communication systems,9.78818E+12,Harlow England : Addison-Wesley,0,0
117,"Core security patterns : best practices and strategies for J2EE, web services, and identity management  ",https://images-na.ssl-images-amazon.com/images/P/8131701492.01.TZZZZZZZ.jpg,"Steel, Christopher | Nagappan, Ramesh | Lai, Ray",Java (Computer program language) | Computer security,9.78813E+12,Upper Saddle River NJ : Prentice Hall,0,0
118,Distributed computing : principles and applications,https://images-na.ssl-images-amazon.com/images/P/8131713326.01.TZZZZZZZ.jpg,"Liu, M. L",Electronic data processing -- Distributed processing,9.78813E+12,New Delhi : Pearson,0,0
119,Effective enterprise Java,https://images-na.ssl-images-amazon.com/images/P/0321130006.01.TZZZZZZZ.jpg,"Neward, Ted",Java (Computer program language),0321130006;,Boston : Pearson,0,0
120,"Embedded linux : hardware, software, and interfacing  ",/opac-tmpl/lib/famfamfam/silk/book.png,"Hollabaugh, Craig",Linux | Operating systems (Computers) | Embedded computer systems,9.78818E+11,Boston : Addison-Wesley,0,0
121,"Genetic algorithms in search, optimization, and machine learning ",https://images-na.ssl-images-amazon.com/images/P/817758829X.01.TZZZZZZZ.jpg,"Goldberg, David E. (David Edward)",Genetic algorithms | Machine learning,9.78818E+12,New Delhi : Addison-Wesley,0,0
122,Network security essentials : applications and standards,https://images-na.ssl-images-amazon.com/images/P/0132380331.01.TZZZZZZZ.jpg,"Stallings, William",Computer networks -- Security measures | Computer security,0132380331 ;,Upper Saddle River NJ : Pearson Education,0,0
123,An introduction to object-oriented programming,/opac-tmpl/lib/famfamfam/silk/book.png,"Budd, Timothy",Object-oriented programming (Computer science),9.78818E+12,Delhi : Pearson Education,0,0
124,Prolog programming for artificial intelligence,https://images-na.ssl-images-amazon.com/images/P/813171134X.01.TZZZZZZZ.jpg,"Bratko, Ivan",Artificial intelligence -- Data processing | Prolog (Computer program language),9.78813E+12,New York : Pearson,0,0
125,The design and analysis of computer algorithms,https://images-na.ssl-images-amazon.com/images/P/8131702057.01.TZZZZZZZ.jpg,"Aho, Alfred V | Hopcroft, John E | Ullman, Jeffrey D",Computer programming | Computer algorithms,9.78813E+12,New Delhi : Pearson,0,0
126,Software quality assurance,https://images-na.ssl-images-amazon.com/images/P/813172395X.01.TZZZZZZZ.jpg,"Galin, Daniel",Computer software -- Quality control,9.78813E+12,New Delhi : Pearson,0,0
127,Design patterns in Java,https://images-na.ssl-images-amazon.com/images/P/8131713083.01.TZZZZZZZ.jpg,"Metsker, Steven John | Wake, William C",Java (Computer program language) | Software patterns,9.78813E+12,New Delhi : Pearson,0,0
128,Programming perl,https://images-na.ssl-images-amazon.com/images/P/8173662657.01.TZZZZZZZ.jpg,"Wall, Larry | Christiansen, Tom | Orwant, Jon",Perl (Computer program language),9.78817E+12,New Delhi : O'Reilly,0,0
129,Cryptography and network security,https://images-na.ssl-images-amazon.com/images/P/0070660468.01.TZZZZZZZ.jpg,"Forouzan, Behrouz A",Computer networks -- Security measures | Cryptography,9.78007E+12,New Delhi : Tata McGraw Hill,0,0
130,Real-time systems,https://images-na.ssl-images-amazon.com/images/P/8177585754.01.TZZZZZZZ.jpg,"Liu, Jane W. S",Real-time data processing,9.78818E+12,New Delhi : Pearson,0,0
131,Running linux,https://images-na.ssl-images-amazon.com/images/P/8184042728.01.TZZZZZZZ.jpg,"Dalheimer, Matthias Kalle | Welsh, Matt",Linux | Operating systems (Computers),9.78818E+12,New Delhi : O'Reilly,0,0
132,Neuro-fuzzy and soft computing : a computational approach to learning and machine intelligence,https://images-na.ssl-images-amazon.com/images/P/8131711099.01.TZZZZZZZ.jpg,"Jang, Jyh-Shing Roger | Sun, Chuen-Tsai | Mizutani, Eiji",Soft computing | Neural networks (Computer science) | Fuzzy systems,9.78813E+12,New Delhi : Prentice Hall,0,0
133,Introduction to data communications and networking,https://images-na.ssl-images-amazon.com/images/P/8131709302.01.TZZZZZZZ.jpg,"Tomasi, Wayne",Data transmission systems | Computer networks,9.78813E+12,New Delhi : Pearson,0,0
134,Ad Hoc wireless networks : architectures and protocols,https://images-na.ssl-images-amazon.com/images/P/8131706885.01.TZZZZZZZ.jpg,"Murthy, C. Siva Ram | Manoj, B. S",Wireless communication systems | Routers (Computer networks) | Computer network architectures,9.78813E+12,New Delhi : Prentice Hall,0,0
135,WAP-the wireless application protocol : writing applications for the mobile Internet,https://images-na.ssl-images-amazon.com/images/P/813170128X.01.TZZZZZZZ.jpg,"Singhal, Sandeep",Computer network protocols | Wireless Internet | Wireless communication systems | Mobile communication systems | Wireless Application Protocol (Computer network protocol),9.78813E+12,New Delhi : Addison-Wesley,0,0
136,Applying UML and patterns : an introduction to object-oriented analysis and design and iterative development,https://images-na.ssl-images-amazon.com/images/P/8177589792.01.TZZZZZZZ.jpg,"Larman, Craig",Object-oriented methods (Computer science) | UML (Computer science) | System analysis | System design,9.78818E+12,New Delhi : Prentice Hall,0,0
137,Distributed systems : concepts and design,https://images-na.ssl-images-amazon.com/images/P/8131718409.01.TZZZZZZZ.jpg,"Coulouris, George F | Dollimore, Jean | Kindberg, Tim",Electronic data processing -- Distributed processing,9.78813E+12,New Delhi : Pearson,0,0
138,Networking bible,https://images-na.ssl-images-amazon.com/images/P/8126523727.01.TZZZZZZZ.jpg,"Sosinsky, Barrie Paul",Computer Science,9.78813E+12,New Delhi : WIley,0,0
139,The road ahead,https://images-na.ssl-images-amazon.com/images/P/0670772895.01.TZZZZZZZ.jpg,"Gates, Bill | Myhrvold, Nathan | Rinearson, Peter",Information superhighway -- United States | Information technology -- United States | Computer networks -- United States | Telecommunication -- United States | Computer industry -- United States,9780670772896;,New York : Viking,0,0
140,Data structures using C and C++,https://images-na.ssl-images-amazon.com/images/P/8120311779.01.TZZZZZZZ.jpg,"Langsam, Yedidyah | Augenstein, Moshe | Tenenbaum, Aaron M",C (Computer program language) | C++ (Computer program language) | Data structures (Computer science),9.78812E+12,New Delhi : Prentice Hall,0,0
141,Algorithms in C,https://images-na.ssl-images-amazon.com/images/P/8131712915.01.TZZZZZZZ.jpg,"Sedgewick, Robert",C (Computer program language) | Computer algorithms,9.78813E+12,New Delhi : Pearson,0,0
142,Fundamentals of algorithmics,https://images-na.ssl-images-amazon.com/images/P/8120311310.01.TZZZZZZZ.jpg,"Brassard, Gilles | Bratley, Paul",Algorithms,9.78812E+12,New Delhi : Prentice Hall,0,0
143,Data structures and algorithm analysis in C++,https://images-na.ssl-images-amazon.com/images/P/8131714748.01.TZZZZZZZ.jpg,"Weiss, Mark Allen",C   (Computer program language) | Data structures (Computer science) | Computer algorithms,9.78813E+12,New Delhi : Pearson,0,0
144,Algorithms,https://images-na.ssl-images-amazon.com/images/P/8131708683.01.TZZZZZZZ.jpg,"Johnsonbaugh, Richard | Schaefer, Marcus",Computer algorithms,9.78813E+12,New Delhi : Pearson Education,0,0
145,Algorithms,https://images-na.ssl-images-amazon.com/images/P/0070636613.01.TZZZZZZZ.jpg,"Dasgupta, Sanjoy | Papadimitriou, Christos H | Vazirani, Umesh Virkumar",Algorithms -- Textbooks | Computer algorithms -- Textbooks,9.78007E+12,New Delhi : McGraw Hill Education,0,0
146,Computer systems design and architecture,https://images-na.ssl-images-amazon.com/images/P/8177584839.01.TZZZZZZZ.jpg,"Heuring, Vincent P | Jordan, Harry F | Murdocca, Miles",System design | Computer architecture,9788177584837;,New Delhi : Pearson,0,0
147,Computer system architecture,https://images-na.ssl-images-amazon.com/images/P/8131700704.01.TZZZZZZZ.jpg,"Mano, M. Morris",Computer architecture | Electronic digital computers,9.78813E+12,New Delhi : Pearson,0,0
148,Computer systems organization & architecture,https://images-na.ssl-images-amazon.com/images/P/8177587676.01.TZZZZZZZ.jpg,"Carpinelli, John D",Computer organization | Computer architecture,9.78818E+12,New Delhi : Pearson,0,0
149,Digital logic and state machine design,https://images-na.ssl-images-amazon.com/images/P/0198092091.01.TZZZZZZZ.jpg,"Comer, David J",Switching circuits | Digital electronics | Logic design | Sequential machine theory,9.7802E+12,New Delhi : Oxford University Press,0,0
150,Introduction to logic and computer design,https://images-na.ssl-images-amazon.com/images/P/0070667144.01.TZZZZZZZ.jpg,"Marcovitz, Alan B",Logic design | Logic circuits | Electronic digital computers -- Circuits,9.78007E+12,New Delhi : TMH,0,0
151,Digital logic design principles,https://images-na.ssl-images-amazon.com/images/P/812651258X.01.TZZZZZZZ.jpg,"Balabanian, Norman | Carlson, Bradley",Digital electronics | Logic design,9.78813E+12,New Delhi : Wiley,0,0
152,Theory of computation,https://images-na.ssl-images-amazon.com/images/P/8131505138.01.TZZZZZZZ.jpg,"Sipser, Michael",Machine theory | Computational complexity,9.78813E+12,New Delhi : Cengage Learning,0,0
153,The theory of computation,https://images-na.ssl-images-amazon.com/images/P/8131708705.01.TZZZZZZZ.jpg,"Moret, B. M. E. (Bernard M. E.)",Machine theory,9.78813E+12,New Delhi : Pearson,0,0
154,An introduction to database systems,https://images-na.ssl-images-amazon.com/images/P/8177585568.01.TZZZZZZZ.jpg,"Date, C. J",Database management,9.78818E+12,New Delhi : Pearson,0,0
155,Database system implementation,https://images-na.ssl-images-amazon.com/images/P/8131704130.01.TZZZZZZZ.jpg,"Garcia-Molina, Hector | Ullman, Jeffrey D | Widom, Jennifer",Database management,9.78813E+12,New Delhi : Pearson,0,0
156,Computer networks : a systems approach,https://images-na.ssl-images-amazon.com/images/P/8131210456.01.TZZZZZZZ.jpg,"Peterson, Larry L | Davie, Bruce S",Computer networks,9.78813E+12,New Delhi : Elsevier,0,0
157,Data communications and networking,https://images-na.ssl-images-amazon.com/images/P/0070634149.01.TZZZZZZZ.jpg,"Forouzan, Behrouz A | Fegan, Sophia Chung","Data transmission systems | Computer networks | Computer Science and Engineering	 | Data Link",9.78007E+12,New Delhi : Tata McGraw Hill,0,0
158,"An engineering approach to computer networking : ATM networks, the internet, and the telephone network  ",https://images-na.ssl-images-amazon.com/images/P/8131711455.01.TZZZZZZZ.jpg,"Keshav, Srinivasan",Computer networks | Asynchronous transfer mode | Internet | Telephone systems,9.78813E+12,New Delhi : Pearson,0,0
159,UNIX network programming,https://images-na.ssl-images-amazon.com/images/P/8120307496.01.TZZZZZZZ.jpg,"Stevens, W. Richard",UNIX (Computer file) | Computer networks | Internet programming,9.78812E+12,New Delhi : PHI,0,0
160,Operating systems : a design-oriented approach,https://images-na.ssl-images-amazon.com/images/P/0074635514.01.TZZZZZZZ.jpg,"Crowley, Charles (Charles Patrick)",Operating systems (Computers),9.78007E+12,New Delhi : TMH,0,0
161,Operating systems,https://images-na.ssl-images-amazon.com/images/P/0074632736.01.TZZZZZZZ.jpg,"Madnick, Stuart E | Donovan, John J",Operating systems (Computers),9.78007E+12,New Delhi : TMH,0,0
162,Operating systems : concepts and design,https://images-na.ssl-images-amazon.com/images/P/0074632728.01.TZZZZZZZ.jpg,"Milenkovič, Milan",Operating systems (Computers),9.78007E+12,New Delhi : TMH,0,0
163,Operating systems,https://images-na.ssl-images-amazon.com/images/P/8131723593.01.TZZZZZZZ.jpg,"Nutt, Gary J",Operating systems (Computers),9.78813E+12,New Delhi : Pearson,0,0
164,Handbook of applied cryptography,https://images-na.ssl-images-amazon.com/images/P/0849385237.01.TZZZZZZZ.jpg,"Menezes, A. J. (Alfred J.) | Van Oorschot, Paul C | Vanstone, Scott A","Computers -- Access control -- Handbooks, manuals, etc | Cryptography -- Handbooks, manuals, etc",9.78085E+12,Boca Raton : CRC Press,0,0
165,Computer architecture and organization,https://images-na.ssl-images-amazon.com/images/P/0071159975.01.TZZZZZZZ.jpg,"Hayes, John P. (John Patrick)",Computer architecture | Electronic digital computers -- Design and construction,9.78007E+12,Boston : WCB/McGraw-Hill,0,0
166,Computer organization,https://images-na.ssl-images-amazon.com/images/P/0071204113.01.TZZZZZZZ.jpg,"Hamacher, V. Carl | Vranesic, Zvonko G | Zaky, Safwat G",Computer organization,9.78007E+12,New Delhi : McGraw-Hill,0,0
167,Digital communications,https://images-na.ssl-images-amazon.com/images/P/0071263780.01.TZZZZZZZ.jpg,"Proakis, John G | Salehi, Masoud",Digital communications,9780071263788;,Boston : McGraw-Hill,0,0
168,Cryptography : theory and practice,https://images-na.ssl-images-amazon.com/images/P/1584885084.01.TZZZZZZZ.jpg,"Stinson, Douglas R",Coding theory | Cryptography,9.78158E+12,Boca Raton : Wiley,0,0
169,Data structures and program design in C,https://images-na.ssl-images-amazon.com/images/P/8177584235.01.TZZZZZZZ.jpg,"Kruse, Robert L. (Robert Leroy) | Leung, Bruce P | Tondo, Clovis L",C (Computer program language),9.78818E+12,Englewood Cliffs N.J. : Prentice Hall,0,0
170,Java web services in a nutshell,https://images-na.ssl-images-amazon.com/images/P/0596003994.01.TZZZZZZZ.jpg,"Topley, Kim",Web services | Internet programming | Application program interfaces (Computer software) | Java (Computer program language),0596003994;,Beijing ; Sebastopol CA : O'Reilly,0,0
171,Java web services : up and running,https://images-na.ssl-images-amazon.com/images/P/059652112X.01.TZZZZZZZ.jpg,"Kalin, Martin",Web site development | Java (Computer program language) | Application software -- Development,9.7806E+12,Beijing ; Sebastopol Calif. : O'Reilly,0,0
172,Terrorism informatics : knowledge management and data mining for homeland security,https://images-na.ssl-images-amazon.com/images/P/0387716122.01.TZZZZZZZ.jpg,"Chen, Hsinchun | Edna Reid",Data mining,9.78039E+12,New York : Springer,0,0
173,Advanced programming in the unix environment,https://images-na.ssl-images-amazon.com/images/P/8131700054.01.TZZZZZZZ.jpg,"Stevens, W. Richard | Rago, Stephen A",UNIX (Computer file) | Operating systems (Computers),9.78813E+12,Upper Saddle River NJ. : Addison-Wesley,0,0
174,"UNIX network programming :  Interprocess communications, vol II ",https://images-na.ssl-images-amazon.com/images/P/812032062X.01.TZZZZZZZ.jpg,"Stevens, W. Richard",UNIX (Computer file) | Computer networks | Internet programming,9.78812E+12,Upper Saddle River NJ : Prentice Hall,0,0
175,Smartphone operating system concepts with symbian OS : a tutorial guide,https://images-na.ssl-images-amazon.com/images/P/0470034491.01.TZZZZZZZ.jpg,"Jipping, Michael J",Symbian OS (Computer file) | Cell phones -- Computer programs | Pocket computers -- Computer programs,9.78047E+12,Chichester England ; Hoboken NJ : John Wiley & Sons,0,0
176,Digital image processing,https://images-na.ssl-images-amazon.com/images/P/8131726959.01.TZZZZZZZ.jpg,"Gonzalez, Rafael C | Woods, Richard E",Image processing -- Digital techniques,9788131726952;,New Delhi : Pearson,0,0
177,An integrated approach to software engineering,https://images-na.ssl-images-amazon.com/images/P/8173197024.01.TZZZZZZZ.jpg,"Jalote, Pankaj",Software engineering,9.78817E+12,New Delhi: Narosa,0,0
178,Introduction to computer security,https://images-na.ssl-images-amazon.com/images/P/8177584251.01.TZZZZZZZ.jpg,"Bishop, Matt",Computer security,9.78818E+12,Boston : Pearson,0,0
179,Verilog HDL : a guide to digital design and synthesis,https://images-na.ssl-images-amazon.com/images/P/8177589180.01.TZZZZZZZ.jpg,"Palnitkar, Samir",Verilog (Computer hardware description language),9.78818E+12,Upper Saddle River NJ : SunSoft Press,0,0
180,The art of multiprocessor programming,https://images-na.ssl-images-amazon.com/images/P/0123705916.01.TZZZZZZZ.jpg,"Herlihy, Maurice | Shavit, Nir",Multiprogramming (Electronic computers) | Multiprocessors,9780123705914;,Amsterdam ; Boston : Elsevier/Morgan Kaufmann,0,0
181,Computer architecture : a quantitative approach,https://images-na.ssl-images-amazon.com/images/P/0123704901.01.TZZZZZZZ.jpg,"Hennessy, John L | Patterson, David A | Arpaci-Dusseau, Andrea C",Computer architecture,0123704901;,Amsterdam ; Boston : Morgan Kaufmann,0,0
182,Digital integrated electronics,https://images-na.ssl-images-amazon.com/images/P/0070265089.01.TZZZZZZZ.jpg,"Taub, Herbert | Schilling, Donald L",Digital electronics | Integrated circuits,9.78007E+12,New York : McGraw-Hill,0,0
183,Artificial intelligence : structures and strategies for complex problem solving,https://images-na.ssl-images-amazon.com/images/P/8131723275.01.TZZZZZZZ.jpg,"Luger, George F",Artificial intelligence | Knowledge representation (Information theory) | Problem solving | Prolog (Computer program language) | LISP (Computer program language),9.78813E+12,Boston : Pearson/Addison Wesley,0,0
184,Distributed operating systems & algorithms analysis,https://images-na.ssl-images-amazon.com/images/P/8131728595.01.TZZZZZZZ.jpg,"Chow, Randy | Johnson, Theodore",Distributed operating systems (Computers) | Computer algorithms,9.78813E+12,New Delhi : Pearson,0,0
185,Computer graphics :  C version,https://images-na.ssl-images-amazon.com/images/P/817758765X.01.TZZZZZZZ.jpg,"Hearn, Donald | Baker, M. Pauline",Computer graphics | C (Computer program language),9.78818E+12,New Delhi : Pearson,0,0
186,Mathematical elements for computer graphics,https://images-na.ssl-images-amazon.com/images/P/0070486778.01.TZZZZZZZ.jpg,"Rogers, David F | Adams, J. Alan",Computer graphics,9.78007E+12,New York : McGraw-Hill,0,0
187,"Multimedia : computing, communications, and applications  ",https://images-na.ssl-images-amazon.com/images/P/8177584413.01.TZZZZZZZ.jpg,"Steinmetz, Ralf | Nahrstedt, Klara",Multimedia systems,9.78818E+12,Upper Saddle River NJ : Prentice Hall,0,0
188,"Neural networks : algorithms, applications, and programming techniques  ",https://images-na.ssl-images-amazon.com/images/P/813170808X.01.TZZZZZZZ.jpg,"Freeman, James A | Skapura, David M",Neural networks (Computer science) | Computer algorithms,9.78813E+12,New Delhi : Pearson,0,0
189,Neural networks in computer intelligence,https://images-na.ssl-images-amazon.com/images/P/0070532826.01.TZZZZZZZ.jpg,"Fu, LiMin",Neural networks (Computer science) | Artificial intelligence,9.78007E+12,New York : McGraw-Hill,0,0
190,"Soft computing and intelligent systems design : theory, tools, and applications ",https://images-na.ssl-images-amazon.com/images/P/8131723240.01.TZZZZZZZ.jpg,"Karray, Fakhreddine O | De Silva, Clarence W",Soft computing | Expert systems (Computer science),9.78813E+12,Harlow England ; New York : Pearson/Addison-Wesley,0,0
191,Coders at work : reflections on the craft of programming,https://images-na.ssl-images-amazon.com/images/P/1430219483.01.TZZZZZZZ.jpg,"Seibel, Peter",Computer programmers -- Interviews | Computer programming | Programmatuurtechniek | Computerprogrammeurs | Programmierer | Programmierung,9.78143E+12,[New York] : Apress,0,0
192,Internet cryptography,/opac-tmpl/lib/famfamfam/silk/book.png,"Smith, Richard E",Internet -- Security measures | Data encryption (Computer science),9.78813E+12,New Delhi : Pearson Education,0,0
193,Introduction to data compression,https://images-na.ssl-images-amazon.com/images/P/8131206246.01.TZZZZZZZ.jpg,"Sayood, Khalid",Data compression (Telecommunication) | Coding theory,9.78813E+12,New Delhi : Elsevier,0,0
194,Introduction to the design & analysis of algorithms,https://images-na.ssl-images-amazon.com/images/P/8131718379.01.TZZZZZZZ.jpg,"Levitin, Anany",Computer algorithms,9.78813E+12,Boston : Pearson/Addison-Wesley,0,0
195,Modern information retrieval,https://images-na.ssl-images-amazon.com/images/P/8131709779.01.TZZZZZZZ.jpg,"Baeza-Yates, R | Ribeiro-Neto, Berthier",Information storage and retrieval systems,9.78813E+12,New Delhi :  Pearson,0,0
196,Digital communications,https://images-na.ssl-images-amazon.com/images/P/8126508248.01.TZZZZZZZ.jpg,"Haykin, Simon S",Digital communications,9.78813E+12,New York : Wiley,0,0
197,Communication systems engineering,https://images-na.ssl-images-amazon.com/images/P/8120327500.01.TZZZZZZZ.jpg,"Proakis, John G | Salehi, Masoud",Telecommunication | Telecommunication,9.78812E+12,Upper Saddle River N.J. : Prentice Hall,0,0
198,Microsoft manual of style for technical publications,https://images-na.ssl-images-amazon.com/images/P/0735617465.01.TZZZZZZZ.jpg,Microsoft Corporation Editorial Style Board,"Microsoft Corporation | Technical writing -- Handbooks, manuals, etc",0735617465 ;,Redmond Wash : Microsoft Press,0,0
199,"Foundations of cryptography : basic tools, vol I ",https://images-na.ssl-images-amazon.com/images/P/0521670527.01.TZZZZZZZ.jpg,"Goldreich, Oded",Coding theory | Cryptography -- Mathematics,9.78052E+12,Cambridge : Cambridge University Press,0,0
200,"Foundations of cryptography : basic applications, vol II  ",https://images-na.ssl-images-amazon.com/images/P/0521670411.01.TZZZZZZZ.jpg,"Goldreich, Oded",Coding theory | Cryptography -- Mathematics,9.78052E+12,Cambridge : Cambridge University Press,0,0
